Date,Open,High,Low,Close,Adj Close,Volume
27/3/2015,2.818,2.818,2.772,2.775,2.775,483
29/3/2015,null,null,null,null,null,null
30/3/2015,2.7655,2.796,2.7645,2.7875,2.7875,714
31/3/2015,2.763,2.784,2.7465,2.747,2.747,671
1/4/2015,2.7495,2.759,2.721,2.7565,2.7565,401
2/4/2015,2.734,2.75,2.734,2.748,2.748,550
5/4/2015,null,null,null,null,null,null
6/4/2015,2.81,2.81,2.7095,2.732,2.732,306
7/4/2015,2.77,2.788,2.7675,2.777,2.777,191
8/4/2015,2.762,2.7685,2.742,2.7485,2.7485,232
9/4/2015,2.735,2.7695,2.735,2.745,2.745,295
10/4/2015,2.7505,2.7895,2.75,2.7505,2.7505,182
12/4/2015,null,null,null,null,null,null
13/4/2015,2.7475,2.756,2.735,2.737,2.737,212
14/4/2015,2.704,2.722,2.6975,2.7195,2.7195,308
15/4/2015,2.715,2.742,2.692,2.7295,2.7295,347
16/4/2015,2.7625,2.7985,2.76,2.7855,2.7855,288
17/4/2015,2.7895,2.8175,2.772,2.7835,2.7835,338
19/4/2015,null,null,null,null,null,null
20/4/2015,2.7845,2.7845,2.725,2.7355,2.7355,776
21/4/2015,2.7275,2.7325,2.695,2.705,2.705,743
22/4/2015,2.6955,2.6955,2.6675,2.6695,2.6695,328
23/4/2015,2.6675,2.698,2.6655,2.698,2.698,168
24/4/2015,2.7405,2.752,2.7405,2.752,2.752,173
26/4/2015,null,null,null,null,null,null
27/4/2015,2.7595,2.7855,2.7595,2.774,2.774,328
28/4/2015,2.765,2.7905,2.764,2.78,2.78,529
29/4/2015,2.78,2.7995,2.7545,2.795,2.795,24423
30/4/2015,2.7885,2.8895,2.786,2.8865,2.8865,7289
1/5/2015,2.8845,2.94,2.8845,2.9315,2.9315,2373
3/5/2015,null,null,null,null,null,null
4/5/2015,2.913,2.9285,2.895,2.924,2.924,1072
5/5/2015,2.918,2.953,2.9065,2.94,2.94,581
6/5/2015,2.935,2.942,2.9145,2.9325,2.9325,509
7/5/2015,2.932,2.9355,2.913,2.926,2.926,816
8/5/2015,2.9275,2.937,2.8965,2.931,2.931,585
10/5/2015,null,null,null,null,null,null
11/5/2015,2.9385,2.9385,2.908,2.9175,2.9175,689
12/5/2015,2.9175,2.959,2.9175,2.9505,2.9505,737
13/5/2015,2.9475,2.961,2.9345,2.95,2.95,386
14/5/2015,2.9375,2.959,2.93,2.946,2.946,779
15/5/2015,2.94,2.953,2.9225,2.949,2.949,266
17/5/2015,null,null,null,null,null,null
18/5/2015,2.955,2.955,2.9185,2.93,2.93,437
19/5/2015,2.923,2.923,2.85,2.8615,2.8615,637
20/5/2015,2.85,2.859,2.844,2.8515,2.8515,593
21/5/2015,2.8535,2.88,2.8535,2.871,2.871,545
22/5/2015,2.8525,2.8525,2.815,2.8335,2.8335,365
24/5/2015,null,null,null,null,null,null
26/5/2015,2.829,2.8535,2.811,2.8535,2.8535,541
27/5/2015,2.8415,2.8415,2.805,2.816,2.816,1167
28/5/2015,2.7825,2.8005,2.78,2.793,2.793,683
29/5/2015,2.7935,2.803,2.754,2.7595,2.7595,604
