Date,Open,High,Low,Close,Adj Close,Volume
27/3/2015,51.009998,51.380001,48.209999,48.869999,48.869999,515277
29/3/2015,null,null,null,null,null,null
30/3/2015,48.57,49.16,47.610001,48.68,48.68,384092
31/3/2015,48.73,48.73,47.279999,47.599998,47.599998,355866
1/4/2015,47.549999,50.450001,47.049999,50.09,50.09,365748
2/4/2015,49.59,50.27,48.110001,49.139999,49.139999,451104
5/4/2015,null,null,null,null,null,null
6/4/2015,49.470001,52.240002,49.470001,52.139999,52.139999,453394
7/4/2015,51.950001,54.130001,51.169998,53.98,53.98,325282
8/4/2015,53.18,53.23,50.369999,50.419998,50.419998,548870
9/4/2015,51,52.07,50.509998,50.790001,50.790001,552627
10/4/2015,50.73,51.93,50.080002,51.639999,51.639999,449531
12/4/2015,null,null,null,null,null,null
13/4/2015,51.810001,53.099998,51.470001,51.91,51.91,395135
14/4/2015,52.049999,53.790001,51.830002,53.290001,53.290001,375534
15/4/2015,53.549999,56.689999,53.389999,56.389999,56.389999,431026
16/4/2015,55.919998,57.419998,55.07,56.709999,56.709999,508904
17/4/2015,56.560001,56.880001,55.310001,55.740002,55.740002,413134
19/4/2015,null,null,null,null,null,null
20/4/2015,56.16,57.169998,54.849998,56.380001,56.380001,230623
21/4/2015,56.41,56.91,55.009998,55.259998,55.259998,112382
22/4/2015,56.34,57.189999,55.73,56.16,56.16,354244
23/4/2015,56.279999,58.41,55.759998,57.740002,57.740002,329631
24/4/2015,57.529999,57.950001,56.5,57.150002,57.150002,415569
26/4/2015,null,null,null,null,null,null
27/4/2015,57.299999,57.889999,56.52,56.990002,56.990002,328322
28/4/2015,56.650002,57.830002,56.07,57.060001,57.060001,250558
29/4/2015,56.93,59.330002,56.540001,58.580002,58.580002,281864
30/4/2015,58.549999,59.849998,58.380001,59.630001,59.630001,411097
1/5/2015,59.790001,59.900002,58.32,59.150002,59.150002,340322
3/5/2015,null,null,null,null,null,null
4/5/2015,59.299999,59.73,58.450001,58.93,58.93,244753
5/5/2015,58.950001,61.099998,58.630001,60.400002,60.400002,215046
6/5/2015,60.720001,62.580002,60.540001,60.93,60.93,389743
7/5/2015,60.689999,61.310001,58.490002,58.939999,58.939999,423583
8/5/2015,59.02,59.900002,58.139999,59.389999,59.389999,437022
10/5/2015,null,null,null,null,null,null
11/5/2015,59.43,59.849998,58.75,59.25,59.25,434575
12/5/2015,59.27,61.360001,59.119999,60.75,60.75,332694
13/5/2015,61.23,61.849998,60.02,60.5,60.5,397345
14/5/2015,60.099998,60.84,59.360001,59.880001,59.880001,426835
15/5/2015,59.669998,59.970001,58.419998,59.689999,59.689999,361432
17/5/2015,null,null,null,null,null,null
18/5/2015,59.849998,60.880001,59.060001,59.43,59.43,222089
19/5/2015,59.540001,59.630001,57.09,57.259998,57.259998,144389
20/5/2015,58.32,59.040001,58.099998,58.98,58.98,336779
21/5/2015,58.810001,60.939999,58.689999,60.720001,60.720001,287129
22/5/2015,60.66,60.799999,59.349998,59.720001,59.720001,329765
24/5/2015,null,null,null,null,null,null
26/5/2015,60.049999,60.25,57.709999,58.029999,58.029999,230307
27/5/2015,58.32,58.950001,57.360001,57.509998,57.509998,330128
28/5/2015,57.630001,58.07,56.509998,57.68,57.68,314917
29/5/2015,57.970001,60.700001,57.720001,60.299999,60.299999,340682
31/5/2015,null,null,null,null,null,null
1/6/2015,60.290001,60.639999,59.330002,60.200001,60.200001,452222
2/6/2015,60.18,61.580002,60.09,61.259998,61.259998,292189
3/6/2015,61.02,61.43,59.34,59.639999,59.639999,344508
4/6/2015,59.57,59.939999,57.830002,58,58,371298
5/6/2015,57.990002,59.23,56.830002,59.130001,59.130001,363345
7/6/2015,null,null,null,null,null,null
8/6/2015,58.959999,59.130001,57.860001,58.139999,58.139999,461016
9/6/2015,58.310001,60.68,58.23,60.139999,60.139999,339845
10/6/2015,60.580002,61.82,60.450001,61.43,61.43,405486
11/6/2015,61.139999,61.529999,60.209999,60.77,60.77,459765
12/6/2015,60.549999,60.630001,59.73,59.959999,59.959999,352421
14/6/2015,null,null,null,null,null,null
15/6/2015,59.900002,59.98,58.73,59.52,59.52,246898
16/6/2015,59.599998,60.369999,59.419998,59.970001,59.970001,275187
17/6/2015,60.029999,61.380001,58.849998,59.919998,59.919998,233935
18/6/2015,59.779999,60.889999,59.25,60.450001,60.450001,396155
