Date,Open,High,Low,Close,Adj Close,Volume
19/3/2020,2415.36,2441.10,2303.90,2311.00,2311.00,608095800.00
18/3/2020,2472.53,2532.39,2420.86,2425.62,2425.62,576383300.00
17/3/2020,2469.73,2517.10,2454.53,2454.53,2454.53,588144700.00
16/3/2020,2557.80,2590.91,2495.77,2495.77,2495.77,491526400.00
12/3/2020,2751.68,2752.64,2666.05,2678.64,2678.64,-
10/3/2020,2766.19,2853.69,2756.88,2832.54,2832.54,-
9/3/2020,2891.59,2891.65,2772.70,2782.37,2782.37,-
6/3/2020,2999.23,3000.14,2959.16,2960.98,2960.98,336208700.00
5/3/2020,3037.07,3047.79,3016.33,3018.27,3018.27,426418600.00
4/3/2020,3015.20,3031.93,3003.09,3025.03,3025.03,373878700.00
3/3/2020,3032.35,3042.77,3015.55,3019.56,3019.56,339606300.00
2/3/2020,2988.35,3026.23,2987.41,3007.72,3007.72,358472600.00
28/2/2020,3043.67,3056.56,3008.46,3011.08,3011.08,552747300.00
27/2/2020,3110.23,3114.15,3086.39,3111.70,3111.70,315229200.00
26/2/2020,3131.64,3136.44,3117.52,3117.52,3117.52,309471500.00
25/2/2020,3145.01,3171.74,3142.20,3158.24,3158.24,255301500.00
24/2/2020,3159.64,3166.01,3140.39,3142.20,3142.20,285617700.00
21/2/2020,3189.19,3200.73,3179.37,3181.03,3181.03,230052300.00
20/2/2020,3217.54,3221.69,3190.99,3198.68,3198.68,206574200.00
19/2/2020,3199.22,3222.61,3194.35,3213.71,3213.71,204087800.00
18/2/2020,3203.38,3203.62,3191.15,3196.63,3196.63,198579800.00
17/2/2020,3220.66,3223.43,3210.00,3213.00,3213.00,192026300.00
14/2/2020,3216.36,3233.86,3212.06,3220.03,3220.03,242145500.00
13/2/2020,3230.28,3232.90,3211.87,3220.09,3220.09,234275500.00
12/2/2020,3182.38,3223.37,3175.25,3223.37,3223.37,309948500.00
11/2/2020,3168.15,3195.50,3166.99,3175.57,3175.57,233884800.00
10/2/2020,3142.47,3173.32,3137.81,3163.15,3163.15,203859800.00
7/2/2020,3214.18,3219.80,3170.57,3181.48,3181.48,322500500.00
6/2/2020,3215.37,3231.97,3206.92,3231.55,3231.55,284410900.00
5/2/2020,3163.67,3203.04,3156.86,3200.13,3200.13,247570300.00
4/2/2020,3135.50,3166.71,3132.51,3156.57,3156.57,251277700.00
3/2/2020,3131.02,3139.36,3112.33,3116.31,3116.31,240928600.00
31/1/2020,3173.39,3183.46,3144.33,3153.73,3153.73,283957200.00
30/1/2020,3183.20,3191.38,3152.51,3170.68,3170.68,246419300.00
29/1/2020,3181.19,3193.84,3172.66,3182.57,3182.57,207466100.00
28/1/2020,3172.73,3190.08,3144.10,3181.25,3181.25,461901000.00
24/1/2020,3235.36,3242.50,3230.32,3240.02,3240.02,192710800.00
23/1/2020,3251.84,3259.90,3231.37,3234.56,3234.56,313846600.00
22/1/2020,3242.60,3258.96,3240.17,3253.93,3253.93,202913300.00
21/1/2020,3271.56,3275.15,3232.99,3247.17,3247.17,272436300.00
20/1/2020,3280.95,3283.06,3270.80,3280.09,3280.09,172691700.00
17/1/2020,3282.85,3283.89,3269.99,3281.03,3281.03,202760000.00
16/1/2020,3256.83,3280.36,3255.63,3278.00,3278.00,270571600.00
15/1/2020,3266.54,3276.00,3252.02,3256.98,3256.98,245144400.00
14/1/2020,3262.08,3270.54,3256.18,3270.54,3270.54,270354000.00
13/1/2020,3259.44,3267.97,3248.00,3251.07,3251.07,211815300.00
10/1/2020,3252.66,3261.28,3246.62,3255.95,3255.95,195969000.00
